file_id,gender,age,race,race4,hair_color
48702,Male,10-19,East Asian,Asian,brown
16073,Male,40-49,White,White,black
39692,Male,3-9,Southeast Asian,Asian,black
02633,Male,10-19,White,White,brown
39085,Male,30-39,White,White,brown
37398,Male,0-2,White,Asian,blond
20682,Female,3-9,Indian,Indian,brown
40598,Male,60-69,East Asian,Asian,gray
33364,Male,40-49,White,White,bald
50243,Male,10-19,Southeast Asian,White,brown
13550,Male,40-49,White,White,black
18040,Female,3-9,White,Asian,blond
43596,Male,40-49,Indian,Indian,brown
49304,Male,20-29,White,White,brown
00986,Male,20-29,White,White,brown
33817,Male,20-29,White,White,blond
29391,Male,3-9,Southeast Asian,Indian,black
09763,Male,20-29,White,White,brown
17234,Female,40-49,Indian,Indian,brown
21256,Female,30-39,White,White,brown
18406,Male,3-9,East Asian,Asian,black
49407,Female,20-29,East Asian,Asian,black
00039,Male,60-69,Latino_Hispanic,Indian,gray
07926,Female,0-2,White,White,brown
68634,Male,20-29,East Asian,Asian,black
19913,Male,20-29,White,White,brown
16976,Female,10-19,Southeast Asian,Asian,black
55934,Male,0-2,Southeast Asian,Asian,brown
44777,Male,20-29,East Asian,Asian,black
00639,Male,20-29,Black,Black,black
35669,Female,10-19,Black,Black,black
62912,Male,50-59,White,White,gray
31576,Female,10-19,White,White,brown
33074,Male,10-19,White,White,brown
48186,Male,30-39,White,White,brown
28199,Male,3-9,White,White,brown
04816,Female,70+,White,White,gray
61300,Female,3-9,White,White,brown
67451,Male,20-29,White,White,black
10729,Male,40-49,Latino_Hispanic,Indian,black
53747,Male,40-49,White,White,brown
69689,Male,50-59,Southeast Asian,Asian,bald
44317,Male,50-59,Latino_Hispanic,Black,black
02518,Male,20-29,Southeast Asian,Asian,black
05294,Male,10-19,Black,Black,black
07614,Male,40-49,White,White,brown
28957,Male,40-49,Black,Black,bald
29166,Male,20-29,White,White,brown
53230,Male,0-2,White,White,blond
25901,Male,50-59,Southeast Asian,Asian,black
44667,Female,3-9,White,White,blond
69187,Male,20-29,White,White,brown
43576,Male,3-9,East Asian,Asian,brown
05284,Male,40-49,Southeast Asian,Asian,black
18367,Female,3-9,East Asian,Asian,black
26693,Male,10-19,Middle Eastern,White,brown
04399,Male,10-19,Southeast Asian,Asian,black
36244,Female,40-49,White,White,brown
14273,Male,50-59,White,White,gray
30170,Male,50-59,Latino_Hispanic,Asian,gray
56199,Male,10-19,East Asian,Asian,black
69839,Female,20-29,White,White,brown
09482,Male,20-29,Latino_Hispanic,Black,black
31752,Male,30-39,White,White,brown
49339,Female,0-2,White,White,brown
59762,Female,70+,Southeast Asian,Asian,gray
32767,Female,10-19,Indian,Indian,black
17611,Male,3-9,White,White,brown
11870,Male,0-2,White,White,blond
30154,Male,20-29,White,White,brown
35510,Male,3-9,Southeast Asian,Asian,black
47752,Male,0-2,White,White,brown
32321,Male,10-19,White,White,brown
67330,Male,3-9,Indian,Indian,brown
16340,Female,3-9,Southeast Asian,Asian,brown
29740,Male,3-9,White,White,brown
64969,Male,70+,White,White,blond
12298,Male,20-29,East Asian,White,brown
14920,Male,20-29,White,White,brown
08395,Female,20-29,East Asian,Asian,brown
63814,Male,60-69,White,White,gray
14083,Male,50-59,White,Asian,gray
39034,Male,3-9,Latino_Hispanic,Indian,brown
63305,Male,50-59,White,White,gray
05104,Male,60-69,White,White,gray
36065,Male,10-19,White,White,brown
03951,Male,20-29,White,White,brown
44010,Male,10-19,Southeast Asian,Asian,black
22731,Male,60-69,White,White,blond
17063,Male,10-19,Southeast Asian,Asian,black
68400,Male,10-19,White,White,red
03394,Male,10-19,Black,Black,brown
58660,Female,20-29,East Asian,Asian,brown
41313,Male,20-29,White,White,brown
19811,Male,50-59,Latino_Hispanic,White,bald
65576,Male,20-29,Latino_Hispanic,Black,blond
16204,Male,40-49,Middle Eastern,White,brown
22441,Male,40-49,White,White,brown
56518,Male,50-59,White,White,brown
44365,Male,20-29,White,White,brown
68269,Male,30-39,White,White,brown
56320,Male,10-19,White,White,brown
33040,Male,20-29,Black,Black,bald
45749,Male,20-29,White,White,brown
49003,Male,10-19,Southeast Asian,Asian,black
46168,Female,20-29,Black,Black,brown
48218,Female,20-29,White,White,brown
16675,Female,3-9,White,White,blond
29952,Male,60-69,White,White,blond
54750,Male,0-2,White,White,blond
46313,Male,10-19,White,White,brown
27220,Male,40-49,White,White,brown
45676,Male,60-69,White,White,gray
68804,Male,10-19,White,Asian,brown
00727,Male,10-19,White,White,brown
03262,Female,3-9,White,White,blond
32045,Male,3-9,White,White,brown
50000,Female,10-19,White,White,brown
54025,Male,60-69,White,Indian,gray
07751,Male,20-29,East Asian,Asian,black
45330,Male,10-19,White,White,black
18212,Male,20-29,East Asian,Asian,black
12823,Female,70+,White,White,gray
59777,Male,20-29,Latino_Hispanic,White,black
63378,Female,0-2,White,Asian,brown
52223,Male,50-59,White,White,gray
37447,Male,10-19,East Asian,Asian,black
00397,Male,20-29,Latino_Hispanic,Asian,black
50109,Male,20-29,East Asian,Asian,black
02461,Male,30-39,White,White,brown
02703,Male,30-39,White,White,brown
60248,Male,60-69,Latino_Hispanic,White,gray
66496,Female,20-29,White,White,blond
20623,Male,40-49,Middle Eastern,White,brown
33470,Male,60-69,Latino_Hispanic,Asian,black
37799,Male,0-2,Latino_Hispanic,Asian,blond
34411,Male,70+,Indian,White,gray
04308,Female,20-29,White,White,brown
69623,Male,20-29,Indian,Indian,black
58959,Male,20-29,White,White,brown
68270,Female,20-29,White,White,blond
64464,Male,50-59,White,White,bald
41734,Male,20-29,White,White,brown
39473,Male,20-29,Southeast Asian,Asian,brown
39972,Female,10-19,East Asian,Asian,black
50059,Male,40-49,White,White,black
10923,Female,3-9,Latino_Hispanic,Asian,brown
23218,Female,20-29,Indian,Indian,brown
10313,Male,20-29,White,White,brown
14408,Male,3-9,White,White,brown
50768,Female,3-9,Southeast Asian,Asian,brown
62520,Male,20-29,East Asian,Asian,black
29216,Male,50-59,White,White,bald
46481,Male,20-29,White,Asian,brown
35124,Female,20-29,White,Asian,blond
26031,Male,50-59,White,White,brown
66885,Male,40-49,Latino_Hispanic,Asian,bald
64390,Male,40-49,White,White,brown
33994,Female,0-2,White,Asian,brown
50917,Female,3-9,White,White,blond
07679,Male,30-39,White,White,brown
39176,Male,3-9,White,White,brown
61377,Male,40-49,White,White,gray
34766,Male,20-29,White,White,brown
63144,Male,3-9,White,White,blond
64557,Male,10-19,Southeast Asian,Asian,red
15251,Male,50-59,Latino_Hispanic,White,gray
02855,Female,70+,Southeast Asian,Asian,gray
47513,Female,20-29,White,White,brown
30975,Male,50-59,White,White,black
07626,Male,3-9,East Asian,Asian,black
34282,Female,20-29,White,White,brown
61063,Male,40-49,Latino_Hispanic,White,brown
54946,Male,10-19,White,White,brown
42038,Female,60-69,Black,Black,brown
36238,Male,10-19,White,Asian,black
18388,Male,3-9,White,White,blond
51822,Male,0-2,White,White,blond
35262,Male,20-29,East Asian,Asian,black
04432,Male,60-69,White,White,brown
55968,Male,0-2,White,White,blond
09375,Male,40-49,Black,Black,black
51693,Female,40-49,White,White,brown
68222,Male,3-9,East Asian,Asian,brown
64648,Male,10-19,Indian,Indian,black
05137,Male,20-29,Black,Black,black
39853,Male,3-9,White,White,brown
49927,Male,50-59,Southeast Asian,Asian,brown
54678,Male,60-69,White,White,gray
26051,Male,30-39,White,White,brown
30894,Male,30-39,White,White,black
55997,Male,30-39,White,Asian,black
20530,Female,20-29,White,White,brown
42225,Female,20-29,White,White,blond
27719,Male,30-39,Black,Black,brown
53862,Male,0-2,White,White,blond
31852,Male,30-39,Southeast Asian,Asian,brown
62649,Male,60-69,White,White,gray
13323,Male,20-29,Latino_Hispanic,Asian,black
46726,Male,30-39,Latino_Hispanic,White,black
04086,Male,20-29,Southeast Asian,Asian,black
44351,Male,20-29,Southeast Asian,Black,black
05714,Male,20-29,White,White,black
48335,Male,10-19,Southeast Asian,Black,black
05028,Male,30-39,Latino_Hispanic,White,brown
40923,Male,3-9,Black,Black,brown
46782,Male,20-29,Latino_Hispanic,White,black
00514,Male,30-39,White,White,brown
03374,Male,30-39,White,White,brown
58490,Female,20-29,White,White,blond
35343,Female,70+,White,White,brown
20691,Male,60-69,East Asian,Asian,black
02443,Male,20-29,White,White,brown
03628,Female,20-29,Black,Black,black
14466,Female,30-39,Black,Black,brown
48279,Male,3-9,White,White,blond
16947,Male,60-69,White,White,gray
63248,Male,10-19,Latino_Hispanic,Black,brown
33947,Female,60-69,Southeast Asian,Asian,black
00503,Male,40-49,White,White,blond
66128,Male,30-39,White,White,brown
55215,Male,30-39,Southeast Asian,White,black
38659,Female,3-9,White,White,blond
11948,Female,20-29,White,White,blond
02071,Male,3-9,Southeast Asian,Asian,brown
39866,Male,3-9,White,White,black
39549,Male,70+,White,White,gray
51744,Female,30-39,Southeast Asian,Asian,black
21673,Male,30-39,White,White,black
46968,Female,10-19,Southeast Asian,Asian,brown
08627,Female,40-49,White,White,blond
01057,Male,20-29,Southeast Asian,White,black
60131,Male,30-39,Black,Black,black
35564,Male,70+,White,White,blond
27606,Male,40-49,Black,Black,black
62152,Female,20-29,White,White,blond
14496,Female,3-9,East Asian,Asian,black
03064,Male,30-39,Black,Black,black
38465,Male,20-29,White,White,blond
26154,Female,60-69,White,White,blond
14662,Male,3-9,Southeast Asian,Asian,brown
66382,Male,30-39,East Asian,White,brown
69269,Male,3-9,East Asian,Asian,black
23359,Male,50-59,White,White,bald
69173,Female,3-9,White,White,blond
09336,Female,60-69,White,White,gray
46684,Male,10-19,White,White,brown
66869,Male,50-59,East Asian,Asian,black
15348,Female,20-29,East Asian,Asian,black
18827,Male,40-49,White,White,brown
65857,Male,40-49,White,White,bald
64585,Female,3-9,White,White,blond
00965,Male,50-59,East Asian,Asian,black
54448,Male,20-29,White,White,brown
50669,Male,30-39,Black,Black,gray
51983,Male,50-59,East Asian,Asian,gray
41258,Female,10-19,White,White,brown
69796,Male,3-9,Black,Black,black
14389,Female,3-9,White,White,blond
23033,Male,3-9,White,White,blond
68732,Male,60-69,White,White,blond
29126,Female,3-9,Black,Black,black
65793,Male,40-49,White,White,bald
58642,Male,3-9,White,White,blond
39292,Male,60-69,White,White,gray
24182,Male,10-19,White,White,brown
14690,Male,30-39,White,White,bald
09508,Male,20-29,East Asian,Asian,brown
67974,Male,10-19,Southeast Asian,Asian,black
37431,Female,10-19,White,White,brown
31329,Male,20-29,White,White,black
06150,Male,3-9,East Asian,Asian,brown
56771,Male,20-29,White,White,brown
01861,Male,30-39,White,White,black
27315,Female,20-29,Latino_Hispanic,Indian,black
45677,Male,20-29,White,White,brown
35342,Male,20-29,White,Asian,black
60887,Male,50-59,Latino_Hispanic,Black,bald
09532,Male,3-9,White,Asian,blond
23044,Female,3-9,White,White,blond
21854,Male,20-29,Latino_Hispanic,Asian,black
68062,Male,20-29,Southeast Asian,Asian,black
27400,Female,40-49,White,White,black
08681,Male,30-39,White,White,black
06244,Male,40-49,White,White,black
35454,Male,70+,White,White,gray
51065,Male,20-29,White,White,brown
63707,Male,20-29,White,White,brown
06471,Male,0-2,White,White,brown
67552,Female,40-49,East Asian,Asian,black
64844,Male,50-59,White,White,brown
45409,Male,30-39,White,White,brown
03638,Male,3-9,White,White,brown
55919,Female,3-9,East Asian,Asian,brown
06379,Male,30-39,White,White,brown
60815,Male,3-9,Southeast Asian,Asian,brown
62838,Male,10-19,White,Asian,brown
15324,Male,40-49,Southeast Asian,White,brown
13655,Male,20-29,Indian,Indian,black
06393,Female,3-9,White,White,brown
67906,Male,70+,White,White,gray
34361,Female,60-69,White,White,brown
47395,Female,3-9,White,White,blond
40826,Female,3-9,White,White,blond
66906,Male,10-19,Indian,Indian,black
40044,Male,20-29,Latino_Hispanic,Black,black
44542,Male,50-59,Southeast Asian,Asian,black
41128,Male,20-29,Indian,Indian,brown
50863,Male,40-49,White,White,brown
67387,Male,30-39,White,White,black
68060,Male,20-29,White,White,brown
06182,Male,40-49,White,White,gray
58271,Male,3-9,Black,Black,black
01636,Female,3-9,White,White,blond
59206,Male,40-49,Southeast Asian,Asian,black
58564,Male,20-29,White,White,brown
06802,Male,30-39,Latino_Hispanic,White,black
43549,Male,20-29,Black,Black,black
49058,Male,50-59,White,White,brown
46939,Male,10-19,White,White,brown
45340,Male,50-59,White,White,gray
20354,Male,0-2,White,White,brown
04832,Female,3-9,White,White,brown
50738,Male,10-19,White,White,black
64308,Male,10-19,White,White,brown
20108,Female,50-59,White,White,brown
42530,Female,60-69,White,White,gray
45307,Male,50-59,Latino_Hispanic,White,gray
07388,Female,3-9,Southeast Asian,Asian,brown
45317,Male,40-49,Black,Black,black
12847,Male,3-9,White,White,blond
68680,Male,40-49,White,White,brown
45464,Male,40-49,White,White,brown
56901,Male,20-29,White,White,brown
61621,Male,40-49,White,White,brown
57709,Female,60-69,White,White,gray
32316,Female,3-9,White,White,blond
41548,Male,0-2,White,White,blond
08485,Male,3-9,White,White,brown
27959,Male,20-29,White,White,brown
08270,Male,40-49,White,White,brown
39398,Male,30-39,East Asian,Asian,black
35467,Female,30-39,White,White,red
08765,Male,40-49,White,White,gray
45770,Male,0-2,White,White,blond
30146,Female,40-49,Black,Black,brown
24910,Male,50-59,White,White,brown
55793,Male,3-9,White,White,blond
66555,Male,40-49,East Asian,Asian,black
29263,Male,0-2,Latino_Hispanic,Asian,brown
08772,Male,30-39,East Asian,Asian,bald
25312,Male,20-29,White,White,brown
50246,Female,3-9,Southeast Asian,Asian,brown
14116,Female,40-49,White,White,blond
56674,Male,30-39,White,White,blond
26450,Female,30-39,White,White,brown
24917,Male,20-29,White,White,brown
20643,Male,40-49,White,Asian,bald
69884,Male,50-59,White,White,brown
50607,Male,40-49,Indian,Asian,black
20951,Male,40-49,White,White,blond
05269,Female,3-9,White,White,brown
65295,Female,10-19,White,White,brown
45978,Male,40-49,White,White,gray
02309,Female,20-29,White,White,brown
69310,Male,10-19,White,White,brown
45459,Male,30-39,White,White,bald
55878,Male,50-59,White,White,gray
11893,Male,0-2,White,White,blond
17980,Male,10-19,East Asian,Asian,black
52282,Male,40-49,Latino_Hispanic,Black,brown
00115,Male,20-29,White,White,brown
43171,Male,60-69,White,Indian,gray
48918,Female,20-29,White,White,brown
41125,Female,3-9,White,White,brown
53683,Male,50-59,White,White,brown
26777,Male,20-29,Southeast Asian,Asian,black
42708,Male,50-59,White,Asian,brown
38003,Female,40-49,East Asian,Asian,black
42826,Female,20-29,Southeast Asian,Asian,black
35685,Female,40-49,White,White,blond
37854,Male,3-9,White,White,brown
12690,Male,40-49,White,White,blond
41249,Female,3-9,Indian,Indian,brown
13086,Male,20-29,White,White,brown
17312,Male,10-19,White,White,brown
43867,Male,20-29,Latino_Hispanic,Asian,black
26463,Male,20-29,White,White,brown
25819,Male,50-59,White,White,gray
67128,Male,0-2,White,White,blond
38187,Female,0-2,East Asian,White,blond
67357,Male,30-39,White,Asian,brown
34963,Male,20-29,White,Indian,brown
06195,Male,40-49,White,White,brown
54275,Female,10-19,East Asian,Asian,black
27322,Male,20-29,White,White,brown
65812,Male,50-59,White,White,gray
08614,Male,3-9,East Asian,Asian,black
30324,Male,3-9,White,White,blond
21415,Male,20-29,White,White,brown
07567,Male,70+,White,White,gray
14183,Male,50-59,Southeast Asian,Indian,brown
39334,Male,0-2,White,White,blond
32978,Male,40-49,Southeast Asian,Asian,black
42447,Female,3-9,White,White,blond
68669,Male,40-49,White,White,bald
45478,Female,20-29,Southeast Asian,Asian,black
21481,Male,50-59,White,White,gray
02464,Male,30-39,White,White,brown
22912,Male,20-29,Southeast Asian,Asian,black
12246,Male,40-49,White,White,brown
33342,Female,3-9,White,White,brown
39360,Male,3-9,Southeast Asian,Asian,brown
18310,Female,0-2,White,White,blond
13175,Male,40-49,White,White,bald
44702,Male,3-9,White,White,blond
69874,Male,30-39,White,White,brown
47934,Male,30-39,White,White,brown
65937,Male,3-9,White,White,blond
19767,Male,30-39,White,White,bald
16988,Female,3-9,East Asian,Asian,brown
44862,Male,30-39,East Asian,Asian,black
59855,Female,3-9,East Asian,Asian,black
54427,Male,20-29,White,White,brown
68501,Male,3-9,East Asian,Asian,brown
23395,Male,3-9,East Asian,Asian,black
56541,Male,10-19,Latino_Hispanic,Asian,black
13364,Female,30-39,Black,Black,black
26851,Male,60-69,East Asian,White,gray
48015,Female,70+,White,White,brown
00386,Male,30-39,White,White,brown
05003,Male,0-2,White,White,blond
52424,Male,3-9,Indian,Indian,blond
60638,Male,10-19,East Asian,Asian,black
48678,Female,20-29,White,White,brown
05017,Male,60-69,White,White,gray
17813,Male,40-49,Southeast Asian,Asian,brown
54445,Male,20-29,White,White,brown
36505,Male,20-29,White,White,brown
35715,Male,10-19,East Asian,Asian,brown
17587,Male,20-29,White,Black,brown
62834,Male,20-29,Black,Black,bald
36589,Female,50-59,Southeast Asian,Asian,black
24551,Male,60-69,White,White,gray
25867,Male,10-19,Latino_Hispanic,Black,brown
02663,Male,40-49,White,White,brown
57250,Male,60-69,White,White,brown
69528,Male,20-29,White,White,brown
55977,Male,50-59,Indian,Indian,gray
56134,Female,60-69,Indian,Indian,gray
11450,Male,60-69,Indian,Indian,bald
60841,Male,3-9,White,White,blond
46826,Female,20-29,White,White,brown
17805,Male,60-69,White,Indian,gray
46173,Male,20-29,White,White,blond
35535,Female,30-39,Southeast Asian,Asian,brown
00644,Male,30-39,White,White,black
18353,Male,0-2,East Asian,Asian,brown
19507,Male,60-69,White,White,gray
45136,Male,3-9,Southeast Asian,Asian,brown
28365,Male,30-39,Latino_Hispanic,White,black
07830,Female,20-29,East Asian,Asian,black
69159,Male,30-39,White,White,brown
16146,Male,20-29,East Asian,Asian,black
20255,Male,40-49,Latino_Hispanic,Indian,black
44407,Male,60-69,Indian,Indian,gray
21893,Male,20-29,Latino_Hispanic,White,gray
13524,Male,20-29,Indian,Indian,black
05376,Male,50-59,White,Indian,black
63815,Female,20-29,Southeast Asian,Asian,black
49813,Male,20-29,White,White,blond
14687,Female,0-2,White,White,blond
55008,Female,0-2,Southeast Asian,Asian,black
07414,Male,0-2,White,White,brown
29067,Male,30-39,Latino_Hispanic,Indian,brown
19372,Female,60-69,White,White,brown
63009,Male,30-39,White,White,black
20666,Female,20-29,White,White,brown
41726,Male,20-29,Black,Black,black
20942,Female,20-29,White,White,brown
68847,Male,50-59,White,White,gray
32584,Male,50-59,White,White,brown
53620,Male,20-29,White,White,brown
53959,Male,20-29,Southeast Asian,Asian,brown
42022,Male,20-29,White,White,brown
08141,Male,40-49,White,White,brown
02312,Male,10-19,Black,Black,black
15053,Male,20-29,East Asian,Asian,black
59231,Male,30-39,White,White,bald
02070,Male,50-59,White,White,gray
42031,Male,20-29,Latino_Hispanic,White,black
29012,Male,10-19,Black,Black,black
67738,Male,10-19,Southeast Asian,Black,black
69046,Male,40-49,White,White,black
03386,Male,20-29,White,White,brown
25417,Female,3-9,White,White,blond
22582,Male,20-29,East Asian,Asian,black
13607,Male,60-69,White,White,gray
47615,Male,60-69,Indian,Indian,gray
38386,Female,3-9,White,White,brown
61739,Male,40-49,White,White,gray
27169,Male,30-39,White,White,black
49695,Male,20-29,Middle Eastern,White,brown
49888,Male,20-29,White,White,brown
01808,Male,40-49,Black,Black,black
34031,Female,3-9,Indian,Indian,brown
13149,Male,60-69,White,White,gray
13996,Male,40-49,White,White,black
48146,Male,20-29,East Asian,Asian,black
56615,Male,20-29,Indian,Indian,black
55342,Female,40-49,White,White,brown
39824,Male,20-29,White,White,brown
33148,Male,20-29,White,White,brown
09263,Male,50-59,White,White,gray
52820,Male,30-39,Latino_Hispanic,Asian,black
01807,Male,40-49,White,White,brown
18148,Male,30-39,Middle Eastern,White,brown
36168,Male,30-39,White,White,red
41315,Male,10-19,East Asian,Asian,black
24972,Male,30-39,East Asian,Asian,black
06369,Female,3-9,White,White,brown
02278,Female,40-49,White,White,blond
25365,Male,20-29,Black,Asian,black
32372,Female,50-59,White,White,brown
29454,Male,50-59,White,White,brown
61512,Female,3-9,White,White,blond
61231,Male,20-29,White,White,brown
66339,Male,20-29,Southeast Asian,Asian,black
35326,Female,3-9,White,White,blond
48466,Female,3-9,Black,Black,black
48351,Male,3-9,Black,Black,black
26274,Male,10-19,White,White,brown
51598,Female,30-39,White,White,brown
65166,Female,3-9,East Asian,Asian,brown
53220,Male,30-39,White,White,brown
33948,Male,20-29,Black,Black,black
68482,Male,20-29,Latino_Hispanic,Asian,black
35593,Female,20-29,White,White,brown
10019,Male,3-9,White,White,blond
28840,Male,70+,White,White,gray
19992,Male,50-59,White,White,brown
48565,Male,30-39,White,White,brown
44481,Male,60-69,Southeast Asian,Black,black
32491,Male,20-29,Southeast Asian,Asian,black
36150,Female,3-9,Latino_Hispanic,Asian,brown
57950,Male,50-59,White,Asian,gray
52066,Male,60-69,White,White,blond
10803,Male,20-29,Indian,Indian,black
38301,Male,30-39,White,White,bald
33260,Male,30-39,White,White,brown
68905,Female,20-29,Black,Black,brown
20339,Male,20-29,Black,Black,bald
64353,Male,10-19,Southeast Asian,Asian,black
56579,Male,20-29,White,White,brown
54062,Male,40-49,White,White,brown
53342,Male,30-39,White,White,brown
69494,Male,50-59,White,White,gray
08006,Male,20-29,White,White,brown
39878,Male,20-29,White,White,brown
63148,Female,0-2,Latino_Hispanic,Indian,brown
61086,Male,20-29,Southeast Asian,Asian,brown
02011,Male,50-59,Black,Black,gray
63019,Male,40-49,White,White,bald
38894,Male,3-9,Indian,Indian,brown
33775,Male,30-39,White,White,brown
34284,Male,30-39,Indian,Indian,black
02287,Male,10-19,East Asian,White,brown
17227,Male,30-39,Latino_Hispanic,White,brown
02822,Male,3-9,White,White,blond
42711,Male,3-9,White,White,brown
17816,Male,50-59,White,White,black
68394,Male,10-19,Latino_Hispanic,Indian,black
66788,Male,10-19,Black,Black,black
01126,Male,20-29,East Asian,Asian,black
21557,Female,50-59,Southeast Asian,Asian,gray
33854,Male,20-29,Latino_Hispanic,Asian,brown
34949,Female,3-9,White,White,blond
24635,Female,60-69,White,White,blond
67364,Male,20-29,East Asian,Asian,black
63501,Male,60-69,East Asian,Asian,gray
09088,Male,40-49,White,White,brown
41620,Male,30-39,White,White,brown
45562,Male,20-29,White,White,brown
03764,Male,40-49,Southeast Asian,Asian,black
65889,Male,50-59,White,White,bald
01154,Female,20-29,White,White,blond
57078,Male,30-39,White,White,brown
31149,Male,40-49,White,White,black
50633,Male,20-29,White,White,brown
45350,Female,3-9,East Asian,Asian,black
22558,Female,40-49,Southeast Asian,Asian,black
04447,Female,3-9,White,White,blond
29711,Male,20-29,Indian,Indian,black
47822,Male,40-49,White,White,bald
53540,Female,20-29,Indian,Indian,black
26683,Male,20-29,Indian,White,brown
26717,Female,50-59,Southeast Asian,Asian,black
53131,Male,10-19,East Asian,White,brown
34060,Male,50-59,White,White,gray
33281,Male,20-29,Latino_Hispanic,White,black
38379,Male,3-9,Southeast Asian,Asian,brown
29477,Male,30-39,White,White,black
39836,Male,20-29,White,White,brown
17208,Male,30-39,White,White,brown
16314,Male,3-9,East Asian,Asian,brown
38234,Female,10-19,Black,Black,red
25075,Male,50-59,White,White,gray
05723,Male,3-9,East Asian,Asian,brown
61200,Male,3-9,White,White,black
02276,Male,30-39,White,White,black
13824,Male,3-9,White,White,brown
40562,Female,40-49,White,White,blond
01465,Male,10-19,East Asian,Asian,brown
27581,Male,20-29,East Asian,Asian,black
15754,Male,50-59,White,White,brown
18481,Male,50-59,White,White,gray
54528,Male,20-29,East Asian,Asian,black
24602,Female,3-9,East Asian,Asian,brown
39309,Male,10-19,Southeast Asian,Asian,black
02997,Male,10-19,East Asian,Asian,brown
30964,Male,60-69,Latino_Hispanic,White,gray
01193,Male,40-49,White,White,gray
11053,Male,30-39,Middle Eastern,White,black
44036,Male,20-29,White,White,brown
28154,Female,3-9,White,White,blond
04770,Male,20-29,White,White,brown
49742,Male,40-49,Middle Eastern,White,bald
00870,Female,60-69,Latino_Hispanic,Asian,bald
11178,Female,0-2,White,White,blond
50758,Male,10-19,White,White,brown
57556,Male,60-69,White,White,gray
50913,Male,50-59,White,White,gray
03503,Male,0-2,White,White,blond
64919,Male,40-49,Southeast Asian,Asian,black
41495,Male,60-69,White,Asian,gray
57192,Male,60-69,White,White,gray
45868,Female,3-9,White,White,blond
53081,Male,40-49,White,White,bald
49252,Male,40-49,White,White,brown
07645,Male,30-39,White,White,bald
25882,Female,70+,White,White,brown
30713,Male,20-29,White,White,brown
